pdbid,-logKd/Ki,Kd/Ki
4qsx,1.74,Kd=18mM
4bgx,1.77,Kd=17mM
3f39,1.78,Kd=16.5mM
2zgm,1.79,Ki=16.4mM
1ga8,1.8,Ki=16mM
3rxh,1.8,IC50=15.7mM
1af6,1.82,Kd=15mM
1bra,1.82,Ki=15000uM
1d5r,1.82,Ki=15mM
1y1m,1.82,Ki=15.3mM
3eqb,1.82,IC50=15mM
4ahv,1.82,Kd=15mM
1rdn,1.84,Ki=14.4mM
1fd7,1.85,IC50=14mM
3khv,1.85,Ki=13.99mM
1tnl,1.88,Ki=13.3mM
2ay2,1.88,Kd=13.1mM
4x8s,1.89,Ki=13mM
1f2p,1.9,Ki=12.7mM
4mrh,1.9,Kd=12.6mM
1f2o,1.91,Ki=12.4mM
1efi,1.92,IC50=12mM
3ehn,1.92,Kd=12mM
4bh3,1.92,Kd=12mM
2rjr,1.94,IC50=11.6mM
4mrf,1.95,Kd=11.2mM
1tnj,1.96,Ki=11.0mM
2gga,1.96,IC50=11mM
1wdq,1.98,Kd=10.45mM
3i3d,1.99,Ki=10.3mM
1gbt,2.0,Ki=10mM
1ing,2.0,IC50>10mM
2bmv,2.0,Kd=10mM
2hds,2.0,Ki=10mM
2r58,2.0,Kd=10mM
3c2f,2.0,Kd=10.1mM
3g2y,2.0,Ki=10mM
3pce,2.0,Ki=10mM
3rv3,2.0,IC50=10mM
4awj,2.0,Kd~10000uM
4ctk,2.0,IC50>10mM
4kz5,2.0,Ki<10mM
4qsu,2.0,Kd=10mM
4qsv,2.0,Kd=10mM
4u58,2.0,Kd>10.0mM
4ty8,2.03,Kd=9.31mM
2ks9,2.04,Ki=9.02mM
1jfh,2.05,Ki=9mM
4e4a,2.05,IC50=9mM
4ty9,2.05,Kd=8.96mM
4x8t,2.05,Kd=8.9mM
1qq9,2.06,Ki=8.7mM
1rdi,2.06,Ki=8.8mM
2zg3,2.06,Kd=8.7mM
4u54,2.06,Kd=8.7mM
4b0c,2.07,Kd=8.5mM
3rxp,2.08,IC50=8.3mM
1njj,2.1,Ki=8mM
2zg1,2.1,Kd=8.0mM
4aml,2.1,IC50=8mM
4cs9,2.1,Kd=8mM
3uf9,2.11,Ki=7.78mM
1qx1,2.12,Ki=7.5mM
2w8w,2.12,Kd=7.5mM
1p2g,2.13,Ki=7.4mM
1uxb,2.15,Kd=7mM
3rxg,2.15,IC50=7.1mM
4b0j,2.15,Kd=7.1mM
4q90,2.15,Ki=7.0mM
5cs3,2.15,Kd=7.0mM
2ay9,2.16,Kd=6.9mM
4tim,2.16,Ki=6.9mM
3gqz,2.17,Ki=6.7mM
3l7d,2.18,Ki=6.55mM
4ahr,2.19,Kd=6.5mM
4ahs,2.19,Kd=6.4mM
4amx,2.19,Ki=6.5mM
4jdf,2.19,Kd=6.4mM
4mre,2.19,Kd=6.4mM
1w1v,2.2,IC50=6.3mM
2vvo,2.2,IC50=6.3mM
4eh8,2.2,IC50=6247uM
1x8d,2.21,Kd=6.16mM
4g0z,2.21,Kd=6.13mM
1icj,2.22,Ki=6mM
1m0n,2.22,Ki=6.0mM
2aac,2.22,Kd=6mM
4aci,2.22,Kd=6mM
4uru,2.22,Kd=6.0mM
4ury,2.22,Kd=6.0mM
4x11,2.22,Kd=6mM
1ajp,2.23,Ki=5.85mM
2igv,2.23,Kd=5.9mM
3ao5,2.23,Kd=5.9mM
3i3b,2.23,Ki=5.9mM
1rdl,2.24,Ki=5.7mM
2ay8,2.24,Kd=5.8mM
2os9,2.24,IC50=5.7mM
1ukt,2.25,IC50>5600uM
1ew8,2.26,Ki=5.5mM
3ao1,2.26,Kd=5.5mM
4eh9,2.26,IC50=5453uM
4np2,2.26,Kd=5.5mM
1hge,2.27,Kd=5.4mM
4ahu,2.27,Kd=5.4mM
4mfe,2.27,Ki=5.4mM
2rjs,2.28,IC50=5.3mM
3fu0,2.28,IC50=5308uM
3ip8,2.28,Ki=5.2mM
2ay1,2.29,Kd=5.14mM
4ehv,2.29,IC50=5103uM
1hyv,2.3,IC50>5mM
1inh,2.3,IC50=5mM
1jdj,2.3,IC50=5mM
1n1g,2.3,IC50~5mM
1o4g,2.3,IC50>5mM
1uxa,2.3,Kd=5mM
1w1p,2.3,IC50=5.0mM
2ay7,2.3,Kd=5.0mM
2hdu,2.3,Ki=5mM
2xix,2.3,IC50>5000uM
2xlc,2.3,Ki~5mM
3dyo,2.3,Ki=5.0mM
3kgq,2.3,Ki=5mM
3mhw,2.3,Ki=5.03mM
3pcg,2.3,Ki=5mM
3rv4,2.3,Ki=5mM
4b6e,2.3,IC50>5mM
4e3d,2.3,IC50=5mM
4g0y,2.3,Kd=4.99mM
4led,2.3,Kd~5mM
4wh7,2.3,IC50>5mM
1m0o,2.31,Ki=4.9mM
4y0a,2.31,Ki=4950uM
2qve,2.32,IC50=4.8mM
5aol,2.32,Kd=4800uM
1z6d,2.34,Ki=4.6mM
4iie,2.34,Ki=4.6mM
1qi0,2.35,Ki=4.5mM
3gtc,2.35,Ki=4.5mM
4k3k,2.35,IC50=4.44mM
1o4j,2.36,IC50=4.4mM
3t0d,2.37,Ki=4.3mM
4jck,2.37,Kd=4.3mM
6rnt,2.37,Kd=4.3mM
3f6e,2.38,Kd=4.14mM
4aj2,2.38,Kd=4200uM
1f73,2.39,Ki=4.1mM
1nwl,2.39,Ki=4.1mM
4nyt,2.39,Kd=4.1mM
4tya,2.39,Kd=4.04mM
2wi1,2.4,IC50>4000uM
3pcb,2.4,Ki=4mM
3t2t,2.4,Kd>4mM
4u5l,2.4,Kd=4.0mM
4zsm,2.4,IC50~4mM
1o4r,2.41,IC50=3.9mM
2wsx,2.41,Kd=3.9mM
4u5s,2.41,Kd=3.9mM
4u5o,2.42,Kd=3.8mM
1o4h,2.44,IC50=3.6mM
1oba,2.44,Kd=3.6mM
1t4s,2.44,Ki=3.6mM
2i2b,2.44,Ki=3.6mM
2xiy,2.44,IC50=3600uM
3ked,2.44,IC50=3.6mM
3l7c,2.44,Ki=3.67mM
3mjl,2.44,Ki=3.6mM
4d62,2.44,Kd=3.64mM
1gbq,2.46,Kd=3.5mM
1o4o,2.46,IC50=3.5mM
2aez,2.46,Ki=3.5mM
3l79,2.46,Ki=3.46mM
4ah9,2.46,Kd=3.5mM
4ddm,2.46,Kd=3.5mM
4eh6,2.46,IC50=3471uM
4x8u,2.46,Ki=3.5mM
1tok,2.47,Kd=3.4mM
1utl,2.47,Kd=3.41mM
3rik,2.47,IC50=3.4mM
4gne,2.47,Kd=3.4mM
1gyx,2.48,Ki=3.3mM
4u5n,2.48,Kd=3.3mM
1o4q,2.49,IC50=3.2mM
4efk,2.49,Kd=3.2mM
4ej2,2.49,Ki=3204uM
4kz7,2.49,Ki=3.2mM
1ai4,2.5,Ki=3.13mM
3g30,2.51,Ki=3.1mM
4ctj,2.51,IC50=3.12mM
1rq2,2.52,IC50=3mM
1wdr,2.52,Kd=3.05mM
3ad7,2.52,Kd=3.01mM
3bf1,2.52,Kd=3mM
3fq7,2.52,IC50=3mM
3mfv,2.52,Ki=3000uM
3vdb,2.52,Ki=3.03mM
4e3f,2.52,IC50=3mM
4g0q,2.52,Kd=3.00mM
4urz,2.52,Kd=3.0mM
4hj2,2.53,Kd=2.95mM
1iup,2.54,Ki=2.9mM
1il3,2.55,IC50=2.8mM
1kf0,2.55,Kd=2.80mM
3b3s,2.55,Ki=2800uM
3ovn,2.55,Kd=2.8mM
1gwv,2.57,Kd=2.68mM
2ria,2.57,IC50=2.7mM
2wq4,2.57,Kd=2700uM
2ay5,2.59,Kd=2.6mM
2jst,2.59,Kd=2.6mM
3gvb,2.59,Ki=2.6mM
4o3a,2.59,Ki=2.57mM
4o3c,2.59,Ki=2.57mM
4wef,2.59,Ki=2577uM
1o4p,2.6,IC50=2.5mM
2c4v,2.6,Ki=2.5mM
2r5a,2.6,Kd=2.5mM
3gwv,2.6,IC50=2.54mM
3rxf,2.6,IC50=2.5mM
4up5,2.6,Kd=2.5mM
1cze,2.62,Kd=2.4mM
1w1y,2.62,IC50=2.4mM
2kfh,2.62,Kd=2.4mM
3f37,2.62,Kd=2.4mM
3f38,2.62,Kd=2.4mM
3fk1,2.62,Ki=2420uM
3rxl,2.62,IC50=2.4mM
4lnf,2.62,IC50=2.4mM
4lno,2.62,Kd=2.4mM
1ajn,2.63,Ki=2.32mM
1g5f,2.64,Ki=2.31mM
1o4i,2.64,IC50=2.3mM
3p1d,2.64,IC50=2.3mM
4i8x,2.64,Kd=2.3mM
4q7w,2.64,Ki=2300uM
4q8y,2.64,Ki=2300uM
4ufl,2.64,Ki=2.3mM
1il5,2.66,IC50=2.2mM
3a1e,2.66,Kd=2.2mM
3rxb,2.66,IC50=2.2mM
4y2p,2.66,IC50=2200uM
3lvw,2.67,Ki=2.12mM
1hgi,2.68,Kd=2.1mM
1o8b,2.68,Ki=2.1mM
2q72,2.68,IC50=2.09mM
3rxk,2.68,IC50=2.1mM
4b3c,2.68,Kd=2.1mM
4b3d,2.68,Kd=2.1mM
3elc,2.69,Kd=2.02mM
4usw,2.69,Kd=2.03mM
1br5,2.7,Ki>2mM
1gym,2.7,IC50=2mM
1lt5,2.7,IC50=2mM
1tc1,2.7,IC50>2mM
1ylv,2.7,Ki=2.0mM
2fzc,2.7,Ki=1990uM
2ha4,2.7,Kd=2.0mM
2krd,2.7,Kd=2000uM
2ohk,2.7,IC50~2000uM
2ow6,2.7,IC50=2mM
2uyn,2.7,Kd=2mM
3bra,2.7,Kd=2000uM
3ftz,2.7,IC50>2mM
3fud,2.7,IC50=2000uM
3fuf,2.7,IC50=2000uM
3fuh,2.7,IC50=2000uM
3gk2,2.7,Kd=2mM
3gsg,2.7,Ki=2mM
3hvg,2.7,IC50=2mM
3rqw,2.7,Kd=2mM
3sl0,2.7,Ki=2mM
3zsw,2.7,Kd>2000uM
3zsz,2.7,Kd>2000uM
3zt1,2.7,Kd>2000uM
4h4b,2.7,Ki=2.0mM
4okp,2.7,Ki<2mM
4old,2.7,Ki>2mM
4wks,2.7,Ki=2mM
4ypf,2.7,IC50>2mM
4yrc,2.7,IC50>2mM
4yrg,2.7,IC50>2mM
4yrr,2.7,IC50>2mM
5aok,2.7,Kd>2000uM
4kpz,2.71,IC50=1950uM
1pfu,2.72,Kd=1900uM
2rkd,2.72,Ki=1.9mM
3p4r,2.72,Ki=1.9mM
1dg9,2.74,Ki=1.8mM
2qwb,2.74,Ki=1820uM
2vyt,2.74,Kd=1.84mM
4m6u,2.74,Ki=1.8mM
4ndu,2.74,Kd=1.8mM
1rql,2.75,Ki=1.79mM
1ny2,2.76,Ki=1.75mM
4bt5,2.76,Ki=1.72mM
2bet,2.77,Ki=1.7mM
2p3o,2.77,IC50=1.7mM
3l0n,2.77,IC50=1680uM
4a4h,2.77,Kd=1.706mM
4g5y,2.77,Kd=1.7mM
4kz3,2.77,Ki=1.7mM
4urv,2.77,Kd=1.7mM
4ykk,2.77,Ki=1.7mM
2yiv,2.78,Ki=1.66mM
3ftw,2.78,IC50=1.67mM
4yrt,2.78,IC50=1.65mM
2bge,2.8,IC50=1.6mM
2bza,2.8,Ki=1.58mM
3zt4,2.8,Kd=1570uM
4kz8,2.8,Ki=1.6mM
4urw,2.8,Kd=1.6mM
4yw2,2.8,Kd=1.6mM
3djx,2.81,Ki=1557.9uM
4eh4,2.81,IC50=1534uM
4oyt,2.81,Ki=1.55mM
4rrg,2.81,Kd=1538.5uM
1czc,2.82,Kd=1.5mM
1p17,2.82,Kd=1.5mM
2a3a,2.82,IC50=1500uM
2rib,2.82,IC50=1.5mM
2w6z,2.82,IC50=1500uM
2xj0,2.82,IC50=1500uM
2yc0,2.82,IC50=1500uM
3fue,2.82,IC50=1510uM
3ppr,2.82,Kd=1.5mM
4dsu,2.82,Kd=1.5mM
4k7i,2.82,Kd=1500uM
4pb1,2.82,Kd=1530uM
4z46,2.82,Kd=1.51mM
4yz5,2.83,Kd=1.48mM
3fu3,2.84,IC50=1443uM
3moh,2.84,Ki=1460uM
4cgj,2.84,Kd=1460uM
1il4,2.85,IC50=1.4mM
2a29,2.85,Kd=1.4mM
2ork,2.85,IC50=1.4mM
3atk,2.85,IC50=1400uM
3k3g,2.85,IC50=1.4mM
3rxa,2.85,IC50=1.4mM
4luv,2.85,Kd=1400uM
4mlt,2.85,Ki=1.4mM
4x47,2.85,IC50=1.41mM
4ym2,2.85,Kd=1400uM
3qx8,2.86,Kd=1.37mM
3zt3,2.86,Kd=1375uM
4ouj,2.86,Kd=1.39mM
4pd5,2.86,Kd=1370uM
4fgz,2.87,IC50=1350uM
1e34,2.88,Ki=1.32mM
2woq,2.88,Ki=1.33mM
4a4f,2.88,Kd=1.317mM
4ucv,2.88,IC50=1310uM
1cet,2.89,Ki=1.3mM
1iih,2.89,Ki=1.3mM
1ugp,2.89,Ki=1.3mM
2k2r,2.89,Kd=1.3mM
2wpb,2.89,Ki=1.3mM
2wtx,2.89,Ki=1.3mM
3f36,2.89,Kd=1.3mM
4b35,2.89,Kd=1.3mM
4cd8,2.89,Ki=1.3mM
4gqq,2.89,Ki=1.3mM
4kzb,2.89,Ki=1.3mM
4u5u,2.89,Kd=1.3mM
4urx,2.89,Kd=1.3mM
5aes,2.89,IC50~1.3mM
3c2u,2.9,Ki=1.25mM
5aom,2.9,Kd=1270uM
1ms0,2.91,Ki=1.23mM
2ay4,2.91,Kd=1.24mM
2pri,2.91,Ki=1.23mM
4kc1,2.91,IC50=1220uM
1eef,2.92,IC50=1.2mM
1h2k,2.92,Ki=1.2mM
1o4k,2.92,IC50=1.2mM
1p6e,2.92,Ki=1.21mM
1zp5,2.92,IC50=1200uM
2aa9,2.92,IC50=1.2mM
2aay,2.92,IC50=1.2mM
2fkf,2.92,Kd=1.2mM
2fw6,2.92,Kd=1.2mM
2fwp,2.92,Kd=1.2mM
2kfg,2.92,Kd=1.2mM
3alt,2.92,Kd=1.19mM
3iaf,2.92,Ki=1.2mM
3k8c,2.92,Ki=1.2mM
4ai5,2.92,Kd=1.2mM
4ef6,2.92,Kd=1.2mM
4lm3,2.92,Ki=1200uM
4x14,2.92,Kd=1.2mM
4y2q,2.92,Kd=1200uM
5c0k,2.92,IC50=1200uM
5ct2,2.92,Kd=1.2mM
1tng,2.93,Ki=1.17mM
3ftv,2.93,IC50=1167uM
1p6d,2.94,Ki=1.15mM
2vmc,2.94,Kd=1.15mM
4y62,2.95,IC50=1133uM
1f4e,2.96,Ki=1.1mM
1w1t,2.96,IC50=1.1mM
1ykp,2.96,Kd=1100uM
2br6,2.96,Ki=1.10mM
2kdh,2.96,Kd=1.1mM
2w8j,2.96,Kd=1.1mM
3dhv,2.96,Kd=1.1mM
3g34,2.96,Ki=1.1mM
3imc,2.96,Kd=1100uM
3img,2.96,Kd=1.1mM
4bgy,2.96,Kd=1.1mM
4dst,2.96,Kd=1.1mM
4k3l,2.96,IC50=1.1mM
4mrg,2.96,Kd=1.1mM
2hw2,2.97,Ki=1.07mM
4ceb,2.97,Kd=1080uM
2rnw,2.98,Kd=1051uM
3ckb,2.98,Kd=1.04mM
3djq,2.98,Ki=1046.4uM
4ibc,2.98,Kd=1049uM
3ump,2.99,Ki=1026uM
4a4g,2.99,Kd=1.025mM
4bps,2.99,Ki=1.02mM
1ecq,3.0,Ki=1.0mM
1hqg,3.0,Ki=1.0mM
1mcz,3.0,Ki=1mM
1ux7,3.0,Kd=1mM
1w7h,3.0,IC50>1mM
1wbg,3.0,IC50=1mM
1wbo,3.0,IC50>1mM
1ws4,3.0,Kd=1.00mM
1yc5,3.0,IC50=1.0mM
1z9h,3.0,IC50=1mM
1zm7,3.0,IC50>1000uM
2f1b,3.0,IC50=1000uM
2h2e,3.0,Kd>1000uM
2q8h,3.0,Kd=1mM
2r0y,3.0,Kd=1mM
2rka,3.0,Ki=1mM
2v3u,3.0,Kd=1mM
2vin,3.0,IC50=1mM
2vtm,3.0,IC50=1mM
2wa3,3.0,IC50=1mM
2xgm,3.0,Kd=1mM
2xgo,3.0,Kd=1mM
2xp3,3.0,IC50>1000uM
2ych,3.0,Kd<1mM
3ap7,3.0,Kd=0.99mM
3d9o,3.0,Kd=1mM
3eka,3.0,IC50=1mM
3grj,3.0,Ki=1mM
3ime,3.0,Kd=1000uM
3nf8,3.0,IC50>1000uM
3nk8,3.0,Kd>1mM
3ob0,3.0,IC50~1mM
4b2i,3.0,Kd=1.0mM
4fe9,3.0,Kd=990.1uM
4k0o,3.0,Kd=1mM
4k5z,3.0,IC50>1000uM
4k64,3.0,Kd>1mM
4k72,3.0,Ki>1000uM
4l51,3.0,Kd=995uM
4l5j,3.0,Kd~1mM
4lkh,3.0,Kd>1.0mM
4llk,3.0,Ki=990uM
4m5r,3.0,IC50=1000uM
4o7d,3.0,IC50~1mM
4oyp,3.0,IC50>1000uM
4oz2,3.0,IC50>1000uM
4r3w,3.0,Ki=1.0mM
4txs,3.0,Kd=1.01mM
4u0w,3.0,Kd=1mM
4wh9,3.0,IC50=1mM
5a5o,3.0,IC50>1mM
5c7b,3.0,IC50=1mM
1utm,3.01,Kd=0.972mM
4g0p,3.01,Kd=0.98mM
2vmd,3.02,Kd=0.95mM
3dc2,3.02,Ki=950uM
3fuk,3.02,IC50=966uM
4q81,3.02,Ki=950uM
4xm8,3.02,IC50=950uM
1ogd,3.03,Kd=0.93mM
1ws5,3.03,Kd=0.926mM
2ggu,3.03,IC50=0.94mM
2ha3,3.03,Kd=930uM
3adv,3.03,Kd=933uM
3esj,3.03,Kd=0.925mM
4lm2,3.03,Ki=940uM
4qp2,3.03,Kd=940uM
5aoi,3.03,Kd=940uM
1rtf,3.04,Ki=910uM
2pcu,3.04,IC50=910uM
3ay0,3.04,Kd=910uM
3t08,3.04,Ki=0.91mM
3t1m,3.04,Kd=0.91mM
3zvv,3.04,IC50=915uM
4i7k,3.04,Kd=905uM
4lm4,3.04,Ki=910uM
1f74,3.05,Ki=0.9mM
1gvk,3.05,Ki=0.89mM
1gzg,3.05,IC50=0.9mM
1o41,3.05,IC50=0.9mM
1pum,3.05,IC50=0.9mM
1uj5,3.05,Ki=0.89mM
1uj6,3.05,Ki=0.89mM
2ohl,3.05,Kd=900uM
2vcw,3.05,IC50=890uM
4g5f,3.05,Kd=0.9mM
4guj,3.05,Kd=0.9mM
4u5v,3.05,Kd=0.9mM
5abe,3.05,Ki=890uM
2jfh,3.06,Ki=870uM
2ksa,3.06,Ki=871uM
3atm,3.06,IC50=873uM
3hw1,3.06,IC50=0.87mM
3rxi,3.06,IC50=873uM
3rxj,3.06,IC50=873uM
4csy,3.06,Kd=878uM
4nyi,3.06,Kd=868uM
1rnm,3.07,Ki=844.2uM
1s26,3.07,Ki=0.85mM
3mof,3.07,Ki=860uM
4yrs,3.07,IC50=0.85mM
1hiy,3.08,Kd=0.83mM
1y1z,3.08,Ki=0.831mM
4yv1,3.08,IC50=830uM
1mdl,3.09,Ki=810uM
1ugw,3.09,Kd=0.82mM
4eh5,3.09,IC50=818uM
1a5v,3.1,IC50=800uM
1af2,3.1,Ki=0.8mM
1ec9,3.1,Ki=0.8mM
1pu7,3.1,Ki=0.8mM
1pu8,3.1,Ki=0.8mM
1swi,3.1,Kd=800uM
3buf,3.1,Kd=800uM
3f78,3.1,Kd=800uM
3mo8,3.1,Kd=0.8mM
4cjr,3.1,Kd=793uM
4j79,3.1,Kd>800uM
4pxf,3.1,Kd=0.8mM
4y2j,3.1,IC50=800uM
4y64,3.1,Ki=790uM
1k2i,3.11,IC50=0.78mM
1uod,3.11,Kd=0.78mM
2ay6,3.11,Kd=0.78mM
2lto,3.11,Kd=770uM
2lwi,3.11,Ki=773uM
3c2r,3.11,Kd=0.78mM
3msj,3.11,IC50=770uM
4aj1,3.11,Kd=770uM
4ajk,3.11,Kd=770uM
4d52,3.11,Kd=775uM
4gbz,3.11,Kd=0.77mM
4wf4,3.11,Kd=777uM
1h9l,3.12,Ki=0.76mM
2ksb,3.12,Ki=754uM
4bt3,3.12,Ki=0.76mM
4cgi,3.12,Kd=752uM
4uct,3.12,IC50=767uM
1ax0,3.13,Kd=0.746mM
3kac,3.13,IC50=740uM
5c5t,3.13,Kd=746uM
2f1a,3.14,IC50=720uM
2ya7,3.14,Ki=0.72mM
3odk,3.14,IC50=720uM
4b34,3.14,Kd=0.73mM
1e6q,3.15,Ki=0.7mM
1eei,3.15,IC50=0.7mM
1k9q,3.15,Kd=700uM
1noi,3.15,Ki=700uM
1noj,3.15,Ki=700uM
1nok,3.15,Ki=700uM
1rin,3.15,Kd=0.7mM
2fr8,3.15,Kd=700uM
2p8n,3.15,Kd=0.7mM
3cgy,3.15,Kd=715uM
3e73,3.15,Kd=0.7mM
4de5,3.15,Kd=0.7mM
4fzj,3.15,Kd=0.7mM
4lw1,3.15,Kd=710uM
4x0z,3.15,Kd=0.7mM
3ad8,3.16,Kd=0.69mM
3ecn,3.16,IC50=698uM
3f34,3.16,Kd=0.69mM
3f35,3.16,Kd=0.69mM
3kpu,3.16,Kd=690uM
3lk0,3.16,Kd=696.9uM
4eh2,3.16,IC50=692uM
4hnc,3.17,Ki=0.67mM
4uce,3.17,Kd=680uM
4x3i,3.17,Ki=671uM
1b9s,3.18,IC50>667uM
1lbk,3.18,Kd=668uM
1ro7,3.18,Ki=657uM
2wik,3.18,Kd=660uM
3at1,3.18,Ki=0.66mM
3bug,3.18,Kd=660uM
3kid,3.18,Ki=656uM
1o6i,3.19,Ki=0.65mM
2zdx,3.19,IC50=648uM
3dxh,3.19,Ki=0.65mM
3g1v,3.19,Ki=645uM
4gzx,3.19,Kd=645uM
4mlx,3.19,Ki=0.65mM
1axz,3.2,Kd=0.637mM
2w0x,3.2,IC50=625uM
2wij,3.2,Kd=630uM
3kab,3.2,IC50=630uM
4elc,3.2,Ki=625uM
4nrm,3.2,IC50=627.9uM
5d9p,3.2,Kd=0.63mM
1s5z,3.21,Kd=0.62mM
3fty,3.21,IC50=619uM
6tim,3.21,Ki=0.61mM
1br6,3.22,Ki=0.6mM
1e6s,3.22,Ki=0.6mM
1e72,3.22,Ki=0.6mM
1evh,3.22,Kd=602uM
1ew9,3.22,Ki=0.6mM
1k1y,3.22,Ki=0.6mM
1q5l,3.22,Kd=600uM
1qwu,3.22,Ki=0.6mM
1tog,3.22,Kd=0.6mM
1x6u,3.22,Ki=0.6mM
1zc9,3.22,Kd=0.6mM
2bv4,3.22,IC50=600uM
2ri9,3.22,Ki=0.6mM
2uy3,3.22,Ki=600uM
3i8t,3.22,Kd=600uM
4n5d,3.22,Kd=607uM
4tyl,3.22,Kd=600uM
1px4,3.23,Ki=0.59mM
2gmk,3.23,Ki=590uM
3zsy,3.23,Kd=595uM
4kc4,3.23,IC50=584uM
4lm1,3.23,Ki=590uM
4unp,3.23,Kd=590uM
1gx4,3.24,Kd=0.580mM
2r8q,3.24,IC50=580uM
3qfz,3.24,Ki=570uM
4b2l,3.24,Kd=0.57mM
4k60,3.24,IC50=570uM
4luo,3.24,Kd=580uM
4qlk,3.24,Ki=0.57mM
4y2u,3.24,IC50=580uM
1v2j,3.25,Ki=566uM
3ta1,3.25,Kd=568uM
4lm0,3.25,Ki=560uM
1l5s,3.26,Kd=550uM
3t1l,3.26,Kd=0.55mM
4egh,3.26,IC50=550uM
4k66,3.26,Kd=554uM
4wkt,3.26,Ki=0.55mM
5yas,3.26,Ki=0.55mM
1axr,3.27,Ki=540uM
3ioe,3.27,Kd=540uM
4jbl,3.27,Kd=0.54mM
1g9t,3.28,Ki=526uM
1x07,3.28,Kd=520uM
2xgs,3.28,Kd=0.530mM
3d52,3.28,Ki=520uM
3ms4,3.28,IC50=524.3uM
3tfu,3.28,Ki=520uM
4eh7,3.28,IC50=520uM
4fl1,3.28,Kd=520uM
4yv0,3.28,IC50=530uM
1ax1,3.29,Kd=0.515mM
4f20,3.29,Kd=0.5083mM
1d7j,3.3,Kd=500uM
1k9r,3.3,Kd=500uM
1lt6,3.3,IC50=0.5mM
1o4e,3.3,IC50=0.5mM
1phw,3.3,Ki=0.5mM
1tpw,3.3,Ki=0.5mM
1zd2,3.3,IC50>500uM
1zd3,3.3,IC50>500uM
2aq7,3.3,IC50=500uM
2aqb,3.3,IC50=500uM
2hd1,3.3,IC50=500uM
2uxx,3.3,Ki=500uM
2vw2,3.3,Ki=0.5mM
2w0s,3.3,Kd=0.5mM
2xml,3.3,IC50=500uM
3aaq,3.3,Ki=0.5mM
3avg,3.3,IC50>500uM
3avh,3.3,IC50>500uM
3avi,3.3,IC50>500uM
3avj,3.3,IC50>500uM
3avk,3.3,IC50>500uM
3avm,3.3,IC50>500uM
3avn,3.3,IC50>500uM
3ch9,3.3,IC50=500uM
3gv6,3.3,Kd>500uM
3h2c,3.3,IC50=500uM
3hcm,3.3,Kd=0.5mM
3i90,3.3,Kd>500uM
3i91,3.3,Kd>500uM
3l7g,3.3,Ki=0.5mM
3n1v,3.3,IC50=500uM
3n1w,3.3,IC50>500uM
3n3l,3.3,IC50>500uM
3n45,3.3,IC50>500uM
4b6f,3.3,IC50~500uM
4gj8,3.3,Kd>500uM
4gj9,3.3,Kd>500uM
4jss,3.3,Ki=500uM
4mrw,3.3,Ki=500uM
4msa,3.3,Ki=500uM
4np3,3.3,Kd=0.5mM
4ojq,3.3,IC50=500uM
4oue,3.3,Ki>500uM
4tz8,3.3,Kd=500uM
4u6e,3.3,Ki>500uM
4ucr,3.3,IC50>500uM
